id|question|opt1|opt2|opt3|opt4|answer|tags|time_limit_seconds
16|एक योजक (Link) क्या है?|दो नोडों को जोड़ने वाला मार्ग|एक शहर|एक कस्बा|एक बंदरगाह|दो नोडों को जोड़ने वाला मार्ग|Geography_C8|30
17|'ओरिएंट एक्सप्रेस' रेलमार्ग कहाँ है?|यूरोप|एशिया|उत्तरी अमेरिका|अफ्रीका|यूरोप|Geography_C8|30
18|राइन जलमार्ग किस महाद्वीप में है?|यूरोप|एशिया|अफ्रीका|दक्षिण अमेरिका|यूरोप|Geography_C8|30
19|विश्व में वायु परिवहन का राष्ट्रीयकरण कब प्रारंभ हुआ?|प्रथम विश्व युद्ध के बाद|द्वितीय विश्व युद्ध के बाद|1990 के दशक में|18वीं शताब्दी में|प्रथम विश्व युद्ध के बाद|Geography_C8|30
20|निम्नलिखित में से कौन सा एक पत्तन (Port) का प्रकार नहीं है?|औद्योगिक पत्तन|वाणिज्यिक पत्तन|विस्तृत पत्तन|आंतरिक पत्तन|आंतरिक पत्तन|Geography_C8|30
21|'पैकेट स्टेशन' या 'फेरी पत्तन' का संबंध किससे है?|छोटी दूरियों पर जलीय क्षेत्रों के आर-पार डाक और यात्रियों का परिवहन|तेल का शोधन|नौसैनिक गतिविधियाँ|वाणिज्यिक व्यापार|छोटी दूरियों पर जलीय क्षेत्रों के आर-पार डाक और यात्रियों का परिवहन|Geography_C8|30
22|सबसे पहले सार्वजनिक रेलमार्ग का प्रारंभ कब और कहाँ हुआ?|1825 में उत्तरी इंग्लैंड में|1853 में भारत में|1830 में संयुक्त राज्य अमेरिका में|1840 में फ्रांस में|1825 में उत्तरी इंग्लैंड में|Geography_C8|30
23|भारत में पहला रेडियो कार्यक्रम कब प्रसारित हुआ?|1923|1936|1947|1950|1923|Geography_C8|30
24|सीमा सड़क संगठन (BRO) की स्थापना कब हुई?|1960|1947|1950|1971|1960|Geography_C8|30
25|कौन सा परिवहन साधन घर-घर तक सेवा प्रदान करने में सक्षम है?|सड़क परिवहन|रेल परिवहन|वायु परिवहन|जल परिवहन|सड़क परिवहन|Geography_C8|30
26|लंबी दूरी तक भारी तथा स्थूल वस्तुओं के परिवहन के लिए सबसे सस्ता साधन कौन सा है?|जल परिवहन|रेल परिवहन|सड़क परिवहन|वायु परिवहन|जल परिवहन|Geography_C8|30
27|स्वेज नहर के बनने से भारत और यूरोप के बीच की दूरी कितनी कम हो गई?|लगभग 7000 किलोमीटर|लगभग 5000 किलोमीटर|लगभग 10000 किलोमीटर|लगभग 2000 किलोमीटर|लगभग 7000 किलोमीटर|Geography_C8|30
28|निम्नलिखित में से कौन सा एक जनसंचार का माध्यम है?|टेलीविजन|टेलीफोन|ई-मेल|फैक्स|टेलीविजन|Geography_C8|30
29|कैनेडियन पैसिफिक रेलमार्ग किन दो नगरों को जोड़ता है?|वैंकूवर और हैलीफैक्स|मॉन्ट्रियल और क्यूबेक|टोरंटो और ओटावा|कैलगरी और विन्निपेग|वैंकूवर और हैलीफैक्स|Geography_C8|30
30|भारत में वायु परिवहन की शुरुआत कब हुई?|1911|1921|1931|1941|1911|Geography_C8|30
31|दो या दो से अधिक परिवहन प्रणालियों का एक स्थान पर मिलना क्या कहलाता है?|परिवहन का मिलन स्थल (Transport Hub)|नोड|योजक|नेटवर्क|परिवहन का मिलन स्थल (Transport Hub)|Geography_C8|30
32|'बृहत् ट्रंक मार्ग' (Great Trunk Route) किस समुद्री मार्ग का दूसरा नाम है?|उत्तरी अटलांटिक समुद्री मार्ग|भूमध्य-हिंद महासागर मार्ग|केप ऑफ गुड होप मार्ग|पनामा नहर मार्ग|उत्तरी अटलांटिक समुद्री मार्ग|Geography_C8|30
33|विश्व में सर्वाधिक सड़क घनत्व किस महाद्वीप में है?|उत्तरी अमेरिका|यूरोप|एशिया|ऑस्ट्रेलिया|उत्तरी अमेरिका|Geography_C8|30
34|कौन सा परिवहन साधन प्राकृतिक मार्गों का उपयोग करता है और उसे मार्ग निर्माण की आवश्यकता नहीं होती?|जल परिवहन|सड़क परिवहन|रेल परिवहन|पाइपलाइन|जल परिवहन|Geography_C8|30
35|ऑप्टिकल फाइबर केबल (OFC) का उपयोग किसमें किया जाता है?|इंटरनेट और दूरसंचार|सड़क निर्माण|रेलवे सिग्नल|पाइपलाइन|इंटरनेट और दूरसंचार|Geography_C8|30
36|भारत की सबसे लंबी राष्ट्रीय राजमार्ग सुरंग कौन सी है?|चेनानी-नाशरी सुरंग (श्यामा प्रसाद मुखर्जी सुरंग)|अटल सुरंग|जवाहर सुरंग|बनिहाल काजीगुंड रोड सुरंग|चेनानी-नाशरी सुरंग (श्यामा प्रसाद मुखर्जी सुरंग)|Geography_C8|30
37|विश्व का लगभग 90% रेलवे यातायात किस महाद्वीप में होता है?|उत्तरी गोलार्ध (यूरोप और उत्तरी अमेरिका)|दक्षिणी गोलार्ध|एशिया|अफ्रीका|उत्तरी गोलार्ध (यूरोप और उत्तरी अमेरिका)|Geography_C8|30
38|आंतरिक भागों से पत्तनों तक माल लाने वाले पत्तन क्या कहलाते हैं?|पृष्ठ प्रदेश (Hinterland)|बाह्य पत्तन|फेरी पत्तन|नौसेना पत्तन|पृष्ठ प्रदेश (Hinterland)|Geography_C8|30
39|रूस के यूराल पर्वतों के पश्चिम में स्थित औद्योगिक क्षेत्र को कौन सा रेलमार्ग सेवा प्रदान करता है?|ट्रांस-साइबेरियन रेलमार्ग|वोल्गा रेलमार्ग|मास्को-सेंट पीटर्सबर्ग रेलमार्ग|यूराल रेलमार्ग|ट्रांस-साइबेरियन रेलमार्ग|Geography_C8|30
40|निम्नलिखित में से कौन सा एक नौभार (Cargo) का प्रकार नहीं है?|यात्री|तरल नौभार|सामान्य नौभार|प्रशीतित नौभार|यात्री|Geography_C8|30
41|'स्वर्णिम चतुर्भुज' (Golden Quadrilateral) परियोजना का संबंध किससे है?|चार प्रमुख महानगरों को जोड़ने वाले राजमार्ग|रेलवे का विकास|हवाई अड्डों का विकास|बंदरगाहों का विकास|चार प्रमुख महानगरों को जोड़ने वाले राजमार्ग|Geography_C8|30
42|वोल्गा जलमार्ग किस देश में स्थित है?|रूस|जर्मनी|संयुक्त राज्य अमेरिका|चीन|रूस|Geography_C8|30
43|किस परिवहन प्रणाली में टर्मिनल (Terminal) लागत अधिक होती है?|रेल परिवहन|सड़क परिवहन|जल परिवहन|पाइपलाइन|रेल परिवहन|Geography_C8|30
44|'इंटरनेट' की शुरुआत किस देश में सैन्य उद्देश्यों के लिए हुई थी?|संयुक्त राज्य अमेरिका|रूस|ब्रिटेन|चीन|संयुक्त राज्य अमेरिका|Geography_C8|30
45|जब विभिन्न स्थानों को जोड़ने के लिए बहुत सी सड़कें आपस में मिलती हैं, तो क्या बनता है?|सड़क जाल (Network)|नोड|योजक|महामार्ग|सड़क जाल (Network)|Geography_C8|30
46|'पार-साइबेरियन' रेलमार्ग पूर्व में किस स्थान से पश्चिम में किस स्थान तक जाता है?|व्लादिवोस्तोक से सेंट पीटर्सबर्ग|मास्को से बीजिंग|टोक्यो से लंदन|पेरिस से इस्तांबुल|व्लादिवोस्तोक से सेंट पीटर्सबर्ग|Geography_C8|30
47|कम दूरी की यात्राओं के लिए सबसे सुविधाजनक और किफायती साधन कौन सा है?|सड़क परिवहन|रेल परिवहन|वायु परिवहन|जल परिवहन|सड़क परिवहन|Geography_C8|30
48|'पोर्ट सईद' और 'पोर्ट स्वेज' किस नहर के दो प्रवेश द्वार हैं?|स्वेज नहर|पनामा नहर|कील नहर|वोल्गा-डॉन नहर|स्वेज नहर|Geography_C8|30
49|भारत में सैटेलाइट प्रणाली को क्या नाम दिया गया है?|इन्सैट (INSAT)|आर्यभट्ट|रोहिणी|भास्कर|इन्सैट (INSAT)|Geography_C8|30
50|निम्नलिखित में से कौन सा पत्तन 'तेल पत्तन' का उदाहरण है?|ट्रिपोली (लेबनान)|कोचीन (भारत)|लंदन (यूके)|न्यूयॉर्क (यूएसए)|ट्रिपोली (लेबनान)|Geography_C8|30
